bs,s1,a1,s2,a2,pfn,pfm,mr1,mr2
16,32768,1,0,0,0,4,0.2500,0.0000
16,32768,1,0,0,1,4,0.2500,0.0000
16,32768,1,0,0,2,4,0.2500,0.0000
16,32768,1,0,0,3,4,0.0010,0.0000
16,32768,1,0,0,4,4,0.0010,0.0000
16,32768,2,0,0,0,4,0.2500,0.0000
16,32768,2,0,0,1,4,0.2500,0.0000
16,32768,2,0,0,2,4,0.2500,0.0000
16,32768,2,0,0,3,4,0.0010,0.0000
16,32768,2,0,0,4,4,0.0010,0.0000
16,32768,4,0,0,0,4,0.2500,0.0000
16,32768,4,0,0,1,4,0.2500,0.0000
16,32768,4,0,0,2,4,0.2500,0.0000
16,32768,4,0,0,3,4,0.0010,0.0000
16,32768,4,0,0,4,4,0.0010,0.0000
16,32768,8,0,0,0,4,0.2500,0.0000
16,32768,8,0,0,1,4,0.2500,0.0000
16,32768,8,0,0,2,4,0.2500,0.0000
16,32768,8,0,0,3,4,0.0010,0.0000
16,32768,8,0,0,4,4,0.0010,0.0000
16,32768,2048,0,0,4,4,0.0010,0.0000
16,65536,1,0,0,0,4,0.2500,0.0000
16,65536,1,0,0,1,4,0.2500,0.0000
16,65536,1,0,0,2,4,0.2500,0.0000
16,65536,1,0,0,3,4,0.0010,0.0000
16,65536,1,0,0,4,4,0.0010,0.0000
16,65536,2,0,0,0,4,0.2500,0.0000
16,65536,2,0,0,1,4,0.2500,0.0000
16,65536,2,0,0,2,4,0.2500,0.0000
16,65536,2,0,0,3,4,0.0010,0.0000
16,65536,2,0,0,4,4,0.0010,0.0000
16,65536,4,0,0,0,4,0.2500,0.0000
16,65536,4,0,0,1,4,0.2500,0.0000
16,65536,4,0,0,2,4,0.2500,0.0000
16,65536,4,0,0,3,4,0.0010,0.0000
16,65536,4,0,0,4,4,0.0010,0.0000
16,65536,8,0,0,0,4,0.2500,0.0000
16,65536,8,0,0,1,4,0.2500,0.0000
16,65536,8,0,0,2,4,0.2500,0.0000
16,65536,8,0,0,3,4,0.0010,0.0000
16,65536,8,0,0,4,4,0.0010,0.0000
